"address_id","latitude","longitude","shipments"
"0043e820-06ef-4542-998c-e09bca2eb0cd",55.099074,32.897727,12
"0043f4be-8793-4653-80ce-c18e3311cffa",50.989232,39.359256,2
"0048e3f5-fb74-463e-912f-cea708c43988",49.856118,40.92525,27
"004a51b6-fc9a-42c2-a35f-ad901bc05048",58.377903,45.535579,17
"004bee37-7d7f-4a6b-b6a5-9a18b6e56486",50.571811,39.26403,3
"004c4eaf-ec37-4b68-8442-015850c91d6f",52.661746,39.649082,69
"004f9639-55df-4c26-ae47-508b5e58e407",50.15731,38.468209,1
"004fca1c-8825-465b-9493-63047dbcd4cb",55.952393,34.377007,7
"0051a071-df14-4392-afbd-cf66d416cd50",49.922079,40.55257,32
"00532478-ec66-4722-8960-7df39a4467fc",51.480977,35.184706,10
"0053d2ff-08fd-4963-98ce-ceced5442526",52.634046,39.595129,22
"00542451-df3e-4ef6-88d3-2349e1de4c8d",51.356294,37.897859,11
"00574465-e13a-466a-83e5-8b7dc832a633",58.305572,42.896761,1
"00590427-1943-486a-8228-6992931b6691",58.378363,45.748223,18
"005a6ffa-ef8a-417d-a5c7-1664ad5b0973",52.22755,37.017595,2
"005b6a77-a725-48f8-8315-7f3888fcb800",52.583258,39.547694,58
"005eba3a-0195-486c-9a74-54c8d7ff1ebb",57.200036,36.443686,4
"005f3a54-8cfd-42c4-bcba-9c7bce1fec57",53.030135,39.860368,2
"005f78d3-4213-41cd-93cc-8edfb4020f55",51.083239,40.196076,10
"005fdd4e-e8ed-4158-aa26-cee867a90fff",52.517085,35.753002,1
"0061d9d0-04e6-4cb5-93f7-15f4e66f1f3a",51.906183,35.467984,24
"0062a84e-574f-404c-ba10-4d1cb8af25b9",51.09763,37.228404,27
"0062d20a-f393-4a78-8ab0-f2274cc67b47",50.781373,37.027671,1
"0062ef3e-48ed-422a-a47d-145d054ca309",58.043208,38.564162,19
"006423a8-bec6-427e-9cf4-909ac820f805",51.678148,39.353013,73
"00644363-4159-4197-996c-2a3278470ac2",55.117548,31.939444,21
"00652f60-2e8a-4889-b46a-1ee15e182274",56.864043,37.354754,100
"00665b7f-138b-4448-b662-4ffa8293946d",58.662344,45.76112,8
"00669b0f-aae4-4ab7-941d-07cbdd6b6a5d",57.237838,35.156257,1
"0068d5fd-eb47-4083-b30e-79500daca482",53.304076,42.398416,96
"0068f075-b08c-480d-a231-52291fdebe63",57.047317,32.781826,36
"00693828-64cf-46a5-a05c-a408bca20517",53.361075,40.131873,30
"006c7169-0129-4b65-9830-2049bfb974db",50.391707,36.476217,1
"006ef615-06db-490e-8774-9ee3e76483cc",58.775465,42.736491,5
"006f916a-8242-4d0a-9beb-d45b0f884ef7",53.350744,40.087061,36
"0070b6f4-600f-4ffa-b277-89b2f1aad038",53.013836,31.62371,3
"00755e98-1a9e-4e43-b92b-a6aa1495b9f4",52.820221,41.157533,1
